Conditions,Outcome Measures
Fever|Pneumonia|Cough,Identification of prognostic parameters for SARS-CoV-2 infected participants.|Investigation of the kinetics of immune activation and antibody production against SARS-CoV-2 and correlation with clinical course
Fiberoptic Bronchoscopy (FOB)|Bronchoalveolar Lavage (BAL)|Respiratory Disease,Regional Compliance Variation|Regional Resistance Variation|Regional Compliance and FOB duration|Regional Compliance and PaO2|Atelectasis areas and BAL flooded areas|PaO2 and PaO2/FiO2 ratio|PaCO2|Endotracheal tube size and Fiberscope size|Hemodynamic variations
Fibromyalgia,Pain Revolution Quiz
"Fibromyalgia, Primary",Number of FM patients
Fibromyalgia|Chronic Low-back Pain,Physical activity|Occupation conditions|General health condition|General pain condition|Perceived stress scale|Fibromyalgia impact questionnaire
Fibromyalgia|Covid-19 Fear|Covid-19 Anxiety|Daily Life|Sleep Quality|Anxiety Depression,Level of Covid-19 anxiety|Level of Covid-19 fear|The Covid-19 anxiety and fear levels on daily life the patients with fibromyalgia|The Covid-19 anxiety and fear levels on sleep quality the patients with fibromyalgia|The Covid-19 anxiety and fear levels on anxiety-depression the patients with fibromyalgia
"Fibromyalgia|Fibromyalgia, Primary",Changes in the Widespread Pain Index|Changes in Sleep Quality|Symptom Severity Scale|Impact of fibromyalgia on daily activities|Depressive symptoms|Physical activity level|Functionality / Flexibility|Painful intensity at rest and movement|Subjective perception of well-being
"Fibroses, Pulmonary","The severity of lung tissue lesions with fibrosis and interstitial changes on day 75|The severity of lung tissue damage by fibrosis and interstitial changes (%) on day 180|The severity of lung tissue lesions with fibrosis and interstitial changes (%) on day 75 and day 180|The severity of lesions of the lung tissue with fibrosis and interstitial changes and indicators: frosted glass, hydrothorax, consolidation (%) images analyzed by the Botkin.AI program (artificial intelligence)|Change in forced vital capacity (FVC)|Change in the diffusion capacity of the lungs|Change in the degree of dyspnea on the MMRC scale|Changes in capillary blood oxygen saturation (SpO2)|Changes in the covered footage in the 6-minute walk test|Changes in capillary blood saturation (SpO2) after a 6-minute walk test|Change in the residual volume of the lungs|Change in the total lung capacity|Change in inspiratory capacity"
Fibrotic Pulmonary Sequelae Post-COVID19 Infection,To investigate the effect of pirfenidone on fibrotic signs induced by COVID19 infection|Maintenance of stability or functional improvement FVC|Decreased oxygen requirement for physical activity|Improved exercise capacity (> 50 meter improvement or less decrease in% oxygen saturation) in the TM6m|Hospitalizations (general and due to respiratory problems)|Visits to the Emergency or Day Hospital for respiratory causes|Lung transplantation|Death
Flu Like Illness,Time to achieve afebrile|Severity of symptom score|Patient reported improvement
Flu Like Symptom|Flu Like Illness,Time to achieve afebrile|Severity of influenza symptom score
"Flu, Human|Influenza, Human|Covid19",Posterior beliefs about the risk/benefits of the flu shot|Demand for information about a COVID-19 vaccine|Willingness-to-pay (WTP) for a free flu shot coupon|Level of attention and recall from the infomercial video during Baseline survey|Level of attention and recall from the infomercial video during Endline survey|Redemption of said coupon
Focus in on Collecting Paired Specimens for Matrix Equivalency,Matrix Equivalency
Follow-up|COVID-19|Infectious Diseases|Respiratory,36-Item Short Form Survey Instrument (SF-36)|the value of FEV1 by lung function test|the ratio of FEV1 to FVC by lung function test|the predicted value of FEV1 by lung function test|the predicted ratio of FEV1 to FVC by lung function test|Lymphocyte value|Neutrophil value|DDI value|the proportion of applying ACEIs/ARBs medication|number of clinical symptoms after hospital discharge|number of cases returning to positive result in RT-PCR test|Number of positive outcome of IgG for antibody of COVID-19
Food Insecurity,"Food Insecurity Score, Change in Food Security|Change in fruit & vegetable consumption|Depression Symptoms|Symptom Relief|Changes of behavioral activation for depression|Perceived Stress|Social Support|Medical outcomes social support|Mastery Control|Self-Esteem|Unmet needs|Self-Reported Food Assistance Program Participation|Change in Self-Reported Health Status|Maternal attitudes and safe infant care practices|Impact of COVID-19|Program Experience|Change in adult acute healthcare utilization|Total adult patient-level cost of care|Child healthcare utilization|Child weight|Child height, Prevalence of Food Insecurity|Percentage of Patients Enrolled in Food Insecurity"
"Food Insecurity|Children, Only|Covid19","Number of participants with mitigation of food insecurity as assessed by the ""Six-item short form of the Household Food Security Scale"", a validated 6 item food insecurity screening tool.|Types of community resources perceived as most helpful by the participants as assessed by a qualitative questionnaire.|Types of barriers to obtain assistance to alleviate food insecurity perceived by the participants as assessed by a qualitative questionnaire."
Food Literacy|Food Habits|Behavior and Behavior Mechanisms|Eating Behavior,Change in Food Literacy skills (Food Literacy Assessment Tool; submitted)|Assessment of Health Action Process Approach Model (HAPA) Variables
Frailty,"Change in Physical Function|Change in Mental Health|Change in Sarcopenia|Change in Frailty|Change in Self-Efficacy|Self-Reported Change in Function, Health and Well-Being|Clinician-Reported Change in Function, Health and Well-Being|Change in Fitness|Program Satisfaction|Change in Health-Related Quality of Life|Change in Nutrition|Change in Emergency Room Visits|Change in Hospitalizations|Change in Number of Calls to 911"
Frailty Syndrome|COVID-19|Healthy Aging|Old Age; Debility,Incidence of frailty
Functional Abdominal Pain Syndrome|Anxiety,"Functional Connectivity of Amygdala with the Prefrontal Cortex|Regional Brain Activation in Areas Associated with Cognitive, Affective, and Visceral Afferent Aspects of Pain|Neuroimaging data linked to pain and anxiety outcomes|Pain Intensity/Unpleasantness via Visual Analog Scale|State Anxiety|Screen for Child Anxiety Related Disorders|Functional Disability Inventory|Rome IV Diagnosis Checklist|MRI Safety and Screening|Self-Efficacy Pain Scale- Child Version|Affective Reactivity Index- Self Report|Pain Catastrophizing Scale for Children|Children's Depression Inventory 2|NIH Promis Pain Interference|Peterson Pubertal Development Scale|Edinburgh Handedness Inventory|Fullness Rating Scale|Child Pain History|Depression Anxiety Stress Scales|Pain Catastrophizing Scale|Screen for Child Anxiety Related Disorders- Parent Report|Functional Disability Inventory- Parent Report|Self-Efficacy Chronic Pain Scale- Parent Version|Medication use|Affective Reactivity Index- Parent- Report|Adverse Childhood Events|COVID-19 Exposure and Family Impact Survey|Child COVID-19 Related Distress|Child COVID-19 Related Distress Coping"
Gambling|Covid19,"Trajectories of gambling behaviors across time before and during the pandemics|Typologies of gamblers based on their gambling activity and their use of RG tools outside the pandemics|Gambling activity of early registered gamblers, during and outside the pandemics|Typologies of gamblers based on their gambling activity and their use of RG tools according to the type of gambling activity, gender, age groups and country"
Gastric Cancer|Colorectal Cancer|Gastrointestinal Disease,treatment of fevers at arrival|treatment of post-operative fevers|assorted surgical parameters|hospitals' protection measures and extent of implementation
Gastrointestinal Disease|Infectious Disease,Technical success|Clinical success|Adverse events
Gastrointestinal Disease|Infectious Disease|Capsule Endoscopy,Maneuverability score|Gastric examination time(GET)|the comfort and acceptability of patients|diagnostic yield
Gender Relations|Partner Communication|Division of Carework|Couple Conflict|Stress,Gender division of caregiving/domestic tasks|Couple communication|Couple conflict|Men's alcohol use|Household economic situation|Stress and frustration
General Surgery|Disease Outbreaks,Mortality
Generalized Anxiety Disorder,"Objective Cognition - Computerized Cognitive Tasks|Subjective Cognitive Self-Efficacy. -Cognitive Failures Questionnaire|Coronavirus Anxiety Scale|Anxiety - State-Trait Anxiety Inventory|Game-related experience- Sessions and duration played|Circadian Rhythm- Morningness-Eveningness Questionnaire|Subjective Arousal- Global Cognitive Arousal-Perceived Stress Scale|Subjective Arousal- Pre-sleep Arousal Scale|Subjective Arousal- Arousal Predisposition Scale Subjective Arousal- Arousal Predisposition Scale Subjective Arousal- Arousal Predisposition Scale|Game Engagement Questionnaire|Mood-Depression-Beck Depression Inventory-II|Alcohol Use - Alcohol Use Disorder Test|Physical Activity - International Physical Activity Questionnaire|Personality - Big Five Inventory|COVID-19 related media exposure and risk questions|Subjective Intervention Efficacy- Internet Intervention Utility Questionnaire|Computer Proficiency- Computer Proficiency Questionnaire|Subjective Behavioral Sleep- Insomnia Severity Index|Beck Depression Inventory-2nd Edition|Subjective Behavioral Sleep - Electronic Daily Sleep Diaries, Change in Penn State Worry Questionnaire|Change in GAD-7|Change in Intolerance to Uncertainty Inventory|Change in Negative Problem Orientation Questionnaire|Change in Cognitive Avoidance Questionnaire|Change in Why Worry Questionnaire|Change in Geriatric Anxiety Inventory|Change in Geriatric Depression Scale|Change in Insomnia Severity Index|Change in Sheehan Disability Scale|Change in Mini-Mental State Examination, telephone version|Change in GAD diagnosis"
